region,st_num,date,avg_temp
karadeniz,17020,2005-01-15,7.749999999999999
karadeniz,17020,2005-02-15,7.7
karadeniz,17020,2005-03-15,8.35
karadeniz,17020,2005-04-15,14.0
karadeniz,17020,2005-05-15,17.4
karadeniz,17020,2005-06-15,18.95
karadeniz,17020,2005-07-15,23.35
karadeniz,17020,2005-08-15,25.700000000000006
karadeniz,17020,2005-09-15,19.5
karadeniz,17020,2005-10-15,15.4
karadeniz,17020,2005-11-15,8.7
karadeniz,17020,2005-12-15,7.25
karadeniz,17020,2006-01-15,4.199999999999998
karadeniz,17020,2006-02-15,5.4
karadeniz,17020,2006-03-15,12.3
karadeniz,17020,2006-04-15,14.65
karadeniz,17020,2006-05-15,18.15
karadeniz,17020,2006-06-15,21.8
karadeniz,17020,2006-07-15,20.25
karadeniz,17020,2006-08-15,25.35
karadeniz,17020,2006-09-15,19.25
karadeniz,17020,2006-10-15,17.7
karadeniz,17020,2006-11-15,9.05
karadeniz,17020,2006-12-15,4.799999999999999
karadeniz,17033,2005-01-15,13.0
karadeniz,17033,2005-02-15,10.0
karadeniz,17033,2005-03-15,12.15
karadeniz,17033,2005-04-15,15.85
karadeniz,17033,2005-05-15,16.0
karadeniz,17033,2005-06-15,20.5
karadeniz,17033,2005-07-15,24.85
karadeniz,17033,2005-08-15,24.700000000000006
karadeniz,17033,2005-09-15,22.3
karadeniz,17033,2005-10-15,17.1
karadeniz,17033,2005-11-15,14.0
karadeniz,17033,2005-12-15,13.1
karadeniz,17033,2006-01-15,7.35
karadeniz,17033,2006-02-15,10.15
karadeniz,17033,2006-03-15,13.8
karadeniz,17033,2006-04-15,13.6
karadeniz,17033,2006-05-15,17.5
karadeniz,17033,2006-06-15,21.85
karadeniz,17033,2006-07-15,23.5
karadeniz,17033,2006-08-15,26.9
karadeniz,17033,2006-09-15,20.7
karadeniz,17033,2006-10-15,18.1
karadeniz,17033,2006-11-15,13.55
karadeniz,17033,2006-12-15,6.4
karadeniz,17033,2007-01-15,11.25
karadeniz,17033,2007-02-15,9.4
karadeniz,17033,2007-03-15,13.9
karadeniz,17033,2007-04-15,11.3
karadeniz,17033,2007-05-15,17.0
karadeniz,17033,2007-06-15,23.55
karadeniz,17033,2007-07-15,24.35
karadeniz,17033,2007-08-15,25.75
karadeniz,17033,2007-09-15,22.8
karadeniz,17033,2007-10-15,18.2
karadeniz,17033,2007-11-15,13.1
karadeniz,17033,2007-12-15,11.05
karadeniz,17033,2008-01-15,6.45
karadeniz,17033,2008-02-15,8.65
karadeniz,17033,2008-03-15,17.8
karadeniz,17033,2008-04-15,17.3
karadeniz,17033,2008-05-15,15.25
karadeniz,17033,2008-06-15,19.45
karadeniz,17033,2008-07-15,24.1
karadeniz,17033,2008-08-15,25.15
karadeniz,17033,2008-09-15,21.2
karadeniz,17033,2008-10-15,20.4
karadeniz,17033,2008-11-15,14.85
karadeniz,17033,2008-12-15,9.35
karadeniz,17033,2009-01-15,10.55
karadeniz,17033,2009-02-15,13.65
karadeniz,17033,2009-03-15,12.0
karadeniz,17033,2009-04-15,10.5
karadeniz,17033,2009-05-15,18.1
karadeniz,17033,2009-06-15,21.2
karadeniz,17033,2009-07-15,24.200000000000006
karadeniz,17033,2009-08-15,22.2
karadeniz,17033,2009-09-15,19.35
karadeniz,17033,2009-10-15,20.5
karadeniz,17033,2009-11-15,16.15
karadeniz,17033,2009-12-15,12.7
karadeniz,17033,2010-01-15,10.7
karadeniz,17033,2010-02-15,13.05
karadeniz,17033,2010-03-15,12.4
karadeniz,17033,2010-04-15,14.85
karadeniz,17033,2010-05-15,22.1
karadeniz,17033,2010-06-15,24.15
karadeniz,17033,2010-07-15,26.25
karadeniz,17033,2010-08-15,27.85
karadeniz,17033,2010-09-15,24.35
karadeniz,17033,2010-10-15,17.7
karadeniz,17033,2010-11-15,18.05
karadeniz,17033,2010-12-15,16.05
karadeniz,17045,2005-01-15,4.2
karadeniz,17045,2005-02-15,5.65
karadeniz,17045,2005-03-15,4.65
karadeniz,17045,2005-04-15,14.05
karadeniz,17045,2005-05-15,17.25
karadeniz,17045,2005-06-15,20.35
karadeniz,17045,2005-07-15,25.2
karadeniz,17045,2005-08-15,25.65
karadeniz,17045,2005-09-15,18.7
karadeniz,17045,2005-10-15,14.35
karadeniz,17045,2005-11-15,8.85
karadeniz,17045,2005-12-15,6.4
karadeniz,17045,2006-01-15,1.3000000000000005
karadeniz,17045,2006-02-15,5.4
karadeniz,17045,2006-03-15,9.6
karadeniz,17045,2006-04-15,12.45
karadeniz,17045,2006-05-15,20.8
karadeniz,17045,2006-06-15,23.0
karadeniz,17045,2006-07-15,21.35
karadeniz,17045,2006-08-15,28.4
karadeniz,17045,2006-09-15,21.5
karadeniz,17045,2006-10-15,18.05
karadeniz,17045,2006-11-15,10.35
karadeniz,17045,2006-12-15,-0.5499999999999998
karadeniz,17045,2007-01-15,3.0
karadeniz,17045,2007-02-15,4.199999999999998
karadeniz,17045,2007-03-15,10.35
karadeniz,17045,2007-04-15,10.1
karadeniz,17045,2007-05-15,19.65
karadeniz,17045,2007-06-15,22.700000000000006
karadeniz,17045,2007-07-15,24.3
karadeniz,17045,2007-08-15,26.85
karadeniz,17045,2007-09-15,22.35
karadeniz,17045,2007-10-15,18.6
karadeniz,17045,2007-11-15,7.500000000000001
karadeniz,17045,2007-12-15,4.0
karadeniz,17045,2011-01-15,6.2
karadeniz,17045,2011-02-15,4.6
karadeniz,17045,2011-03-15,9.4
karadeniz,17045,2011-04-15,13.3
karadeniz,17045,2011-05-15,17.2
karadeniz,17045,2011-06-15,21.3
karadeniz,17045,2011-07-15,26.200000000000006
karadeniz,17045,2011-08-15,25.65
karadeniz,17045,2011-09-15,20.25
karadeniz,17045,2011-10-15,17.25
karadeniz,17045,2011-11-15,5.1
karadeniz,17045,2011-12-15,4.95
karadeniz,17045,2013-01-15,4.800000000000002
karadeniz,17045,2013-02-15,9.35
karadeniz,17045,2013-03-15,10.7
karadeniz,17045,2013-04-15,17.2
karadeniz,17045,2013-05-15,22.6
karadeniz,17045,2013-06-15,22.35
karadeniz,17045,2013-07-15,20.15
karadeniz,17045,2013-08-15,22.4
karadeniz,17045,2013-09-15,22.75
karadeniz,17045,2013-10-15,16.599999999999998
karadeniz,17045,2013-11-15,12.0
karadeniz,17045,2013-12-15,1.9000000000000004
karadeniz,17045,2014-01-15,6.45
karadeniz,17045,2014-02-15,7.550000000000002
karadeniz,17045,2014-03-15,10.55
karadeniz,17045,2014-04-15,15.25
karadeniz,17045,2014-05-15,21.4
karadeniz,17045,2014-06-15,22.05
karadeniz,17045,2014-07-15,26.8
karadeniz,17045,2014-08-15,28.85
karadeniz,17045,2014-09-15,21.05
karadeniz,17045,2014-10-15,15.55
karadeniz,17045,2014-11-15,7.899999999999999
karadeniz,17045,2014-12-15,8.5
karadeniz,17045,2015-01-15,4.550000000000002
karadeniz,17045,2015-02-15,9.05
karadeniz,17045,2015-03-15,11.6
karadeniz,17045,2015-04-15,14.65
karadeniz,17045,2015-05-15,19.05
karadeniz,17045,2015-06-15,23.65
karadeniz,17045,2015-07-15,25.45
karadeniz,17045,2015-08-15,24.4
karadeniz,17045,2015-09-15,25.65
karadeniz,17045,2015-10-15,16.25
karadeniz,17045,2015-11-15,10.5
karadeniz,17045,2015-12-15,4.75
karadeniz,17045,2016-01-15,4.499999999999999
karadeniz,17045,2016-02-15,9.9
karadeniz,17045,2016-03-15,11.2
karadeniz,17045,2016-04-15,15.75
karadeniz,17045,2016-05-15,16.6
karadeniz,17045,2016-06-15,23.2
karadeniz,17045,2016-07-15,25.45
karadeniz,17045,2016-08-15,25.75
karadeniz,17045,2016-09-15,19.95
karadeniz,17045,2016-10-15,16.8
karadeniz,17045,2016-11-15,10.9
karadeniz,17045,2016-12-15,2.5
karadeniz,17045,2018-01-15,6.300000000000002
karadeniz,17045,2018-02-15,9.4
karadeniz,17045,2018-03-15,11.55
karadeniz,17045,2018-04-15,16.55
karadeniz,17045,2018-05-15,19.95
karadeniz,17045,2018-06-15,26.4
karadeniz,17045,2018-07-15,28.0
karadeniz,17045,2018-08-15,23.65
karadeniz,17045,2018-09-15,24.25
karadeniz,17045,2018-10-15,19.55
karadeniz,17045,2018-11-15,12.4
karadeniz,17045,2018-12-15,7.65
karadeniz,17045,2020-01-15,4.550000000000002
karadeniz,17045,2020-02-15,4.65
karadeniz,17045,2020-03-15,12.6
karadeniz,17045,2020-04-15,12.85
karadeniz,17045,2020-05-15,19.4
karadeniz,17045,2020-06-15,24.6
karadeniz,17045,2020-07-15,27.1
karadeniz,17045,2020-08-15,23.75
karadeniz,17045,2020-09-15,26.5
karadeniz,17045,2020-10-15,21.1
karadeniz,17045,2020-11-15,14.35
karadeniz,17045,2020-12-15,8.200000000000001
marmara,17052,2010-01-15,2.9000000000000004
marmara,17052,2010-02-15,6.9
marmara,17052,2010-03-15,7.55
marmara,17052,2010-04-15,13.7
marmara,17052,2010-05-15,19.35
marmara,17052,2010-06-15,24.05
marmara,17052,2010-07-15,24.75
marmara,17052,2010-08-15,26.85
marmara,17052,2010-09-15,21.9
marmara,17052,2010-10-15,12.55
marmara,17052,2010-11-15,15.4
marmara,17052,2010-12-15,8.5
marmara,17052,2011-01-15,3.45
marmara,17052,2011-02-15,4.800000000000002
marmara,17052,2011-03-15,7.95
marmara,17052,2011-04-15,11.65
marmara,17052,2011-05-15,16.2
marmara,17052,2011-06-15,21.6
marmara,17052,2011-07-15,24.5
marmara,17052,2011-08-15,24.35
marmara,17052,2011-09-15,23.4
marmara,17052,2011-10-15,13.95
marmara,17052,2011-11-15,7.9
marmara,17052,2011-12-15,5.700000000000001
marmara,17052,2012-01-15,0.2000000000000001
marmara,17052,2012-02-15,1.7999999999999998
marmara,17052,2012-03-15,9.45
marmara,17052,2012-04-15,13.8
marmara,17052,2012-05-15,19.35
marmara,17052,2012-06-15,23.950000000000006
marmara,17052,2012-07-15,27.75
marmara,17052,2012-08-15,25.9
marmara,17052,2012-09-15,21.7
marmara,17052,2012-10-15,18.8
marmara,17052,2012-11-15,12.6
marmara,17052,2012-12-15,5.4
marmara,17052,2013-01-15,5.199999999999998
marmara,17052,2013-02-15,8.1
marmara,17052,2013-03-15,9.85
marmara,17052,2013-04-15,17.25
marmara,17052,2013-05-15,20.6
marmara,17052,2013-06-15,22.6
marmara,17052,2013-07-15,25.15
marmara,17052,2013-08-15,25.7
marmara,17052,2013-09-15,21.25
marmara,17052,2013-10-15,12.6
marmara,17052,2013-11-15,9.5
marmara,17052,2013-12-15,5.4
marmara,17052,2014-01-15,6.2
marmara,17052,2014-02-15,8.049999999999999
marmara,17052,2014-03-15,11.4
marmara,17052,2014-04-15,14.9
marmara,17052,2014-05-15,19.45
marmara,17052,2014-06-15,22.0
marmara,17052,2014-07-15,24.5
