"","date","visits","simplystats"
"1",2011-01-01,0,0
"2",2011-01-02,0,0
"3",2011-01-03,0,0
"4",2011-01-04,0,0
"5",2011-01-05,0,0
"6",2011-01-06,0,0
"7",2011-01-07,0,0
"8",2011-01-08,0,0
"9",2011-01-09,0,0
"10",2011-01-10,0,0
"11",2011-01-11,0,0
"12",2011-01-12,0,0
"13",2011-01-13,0,0
"14",2011-01-14,0,0
"15",2011-01-15,0,0
"16",2011-01-16,0,0
"17",2011-01-17,0,0
"18",2011-01-18,0,0
"19",2011-01-19,0,0
"20",2011-01-20,0,0
"21",2011-01-21,5,0
"22",2011-01-22,3,0
"23",2011-01-23,4,0
"24",2011-01-24,15,0
"25",2011-01-25,7,0
"26",2011-01-26,6,0
"27",2011-01-27,5,0
"28",2011-01-28,9,0
"29",2011-01-29,3,0
"30",2011-01-30,4,0
"31",2011-01-31,10,0
"32",2011-02-01,11,0
"33",2011-02-02,11,0
"34",2011-02-03,9,0
"35",2011-02-04,14,0
"36",2011-02-05,6,0
"37",2011-02-06,3,0
"38",2011-02-07,12,0
"39",2011-02-08,12,0
"40",2011-02-09,11,0
"41",2011-02-10,10,0
"42",2011-02-11,1,0
"43",2011-02-12,5,0
"44",2011-02-13,5,0
"45",2011-02-14,23,0
"46",2011-02-15,7,0
"47",2011-02-16,15,0
"48",2011-02-17,13,0
"49",2011-02-18,8,0
"50",2011-02-19,0,0
"51",2011-02-20,3,0
"52",2011-02-21,8,0
"53",2011-02-22,14,0
"54",2011-02-23,10,0
"55",2011-02-24,6,0
"56",2011-02-25,7,0
"57",2011-02-26,8,0
"58",2011-02-27,4,0
"59",2011-02-28,11,0
"60",2011-03-01,8,0
"61",2011-03-02,20,0
"62",2011-03-03,10,0
"63",2011-03-04,12,0
"64",2011-03-05,4,0
"65",2011-03-06,3,0
"66",2011-03-07,11,0
"67",2011-03-08,8,0
"68",2011-03-09,11,0
"69",2011-03-10,12,0
"70",2011-03-11,11,0
"71",2011-03-12,5,0
"72",2011-03-13,2,0
"73",2011-03-14,9,0
"74",2011-03-15,11,0
"75",2011-03-16,7,0
"76",2011-03-17,7,0
"77",2011-03-18,4,0
"78",2011-03-19,1,0
"79",2011-03-20,2,0
"80",2011-03-21,6,0
